DIS,20171222,97,0.76,-3
DIS,20171222,98.5,0.65,-1
UNP,20171229,109,0.65,-3
UNP,20171229,108,0.54,-1
UNP,20171222,113,0.14,-1
UNP,20171222,115,0.14,-1
DIS,20171222,98,0.1,-1
DIS,20180126,96,0.47,-1
MA,20180126,125,0.53,-3
QCOM,20180119,55,0.17,-3
TXT,20180119,47,0.14,-3
MMM,20171222,217.5,0.16,-3
CTSH,20180126,63.5,0.21,-3
CME,20180112,133,0.28,-3
QCOM,20180119,52.5,0.12,-1
CRM,20180216,87.5,0.38,-3
MA,20180105,125,0.16,-1
TEL,20180119,85,0.19,-3
CRM,20180216,85,0.29,-1
ADP,20180112,108,0.27,-3
PM,20180112,95.5,0.61,-2
PM,20180112,96.5,0.61,-1
PM,20180105,96.5,0.45,-1
MDT,20180126,74.5,0.21,-3
ADP,20180112,107,0.18,-1
V,20180105,95,0.6,-2
AAPL,20180216,150,0.8,-2
MMM,20180126,212.5,0.65,-1
V,20180112,98.5,0.64,-1
CAT,20171229,124,0.12,-2
CAT,20171229,125,0.12,-1
BA,20180119,260,0.6,-2
CAT,20180105,124,0.17,-1
BA,20180112,260,0.44,-1
BA,20180119,255,0.5,-1
V,20180126,95,0.64,-1
TXN,20180105,90,0.2,-2
AMZN,20171222,1017.5,0.42,-2
AMZN,20171222,1015,0.4,-1
AMZN,20171222,1012.5,0.39,-1
NVDA,20180216,145,0.73,-1
GD,20180216,175,0.71,-1
BLK,20180119,450,0.89,-1
CSCO,20180216,34,0.16,-1
ACN,20180105,120,0.15,-1
EBAY,20180216,33,0.14,-1
GLW,20180216,28,0.11,-1
TDG,20180119,240,0.61,-1
