QCOM,20180216,55.5,0.84,-2
WLTW,20180216,135,0.99,-2
TEL,20180216,85,0.43,-3
INTU,20180216,140,0.66,-3
RHT,20180216,109,0.5,-3
HON,20180216,124,0.52,-3
BLK,20180216,430,1.32,-3
BAX,20180216,58,0.25,-2
CSCO,20180216,35.5,0.13,-3
ITW,20180216,138,0.36,-3
APD,20180216,130,0.32,-3
ACN,20180216,132,0.3,-3
TXN,20180216,84,0.2,-3
MDT,20180216,72,0.17,-3
MSFT,20180216,75,0.16,-3
ADSK,20180216,84,0.15,-3
UNP,20180223,107,0.47,-3
EL,20180216,125,0.41,-2
CAT,20180216,116,0.16,-3
ADP,20180216,102,0.37,-2
ADBE,20180216,165,0.14,-3
MCD,20180216,150,0.14,-3
AMZN,20180216,1135,1.92,-2
NKE,20180316,50,0.12,-3
XOM,20180216,67,0.14,-2
MA,20180216,140,0.18,-2
CMI,20180216,135,0.15,-2
RTN,20180316,165,0.34,-3
IBM,20180316,105,0.19,-2
KO,20180316,37,0.11,-1
