ADSK,20180323,85,1.5,-1
V,20180323,95,0.46,-3
WLTW,20180420,120,1.59,-3
QCOM,20180329,50,0.54,-3
BLK,20180316,425,0.74,-3
EL,20180316,125,0.2,-3
XRX,20180420,23,0.18,-3
IBM,20180323,135,0.33,-3
PM,20180323,95,0.22,-3
SNPS,20180420,70,0.3,-3
CAT,20180323,105,0.16,-3
PSA,20180316,175,0.16,-3
ADP,20180329,100,0.19,-3
GD,20180329,185,0.25,-3
ACN,20180323,125,0.16,-2
RHT,20180323,124,0.22,-2
TIF,20180323,80,0.13,-1
TIF,20180329,80,0.17,-1
TDG,20180518,230,1.72,-1
BA,20180316,295,0.3,-1
ADBE,20180316,180,0.21,-1
T,20180420,32,0.12,-1
