DIS,20180202,97.5,0.48,-3
QCOM,20180223,45,1.56,-1
V,20180126,111,0.16,-3
CTSH,20180209,66.5,0.19,-3
ADBE,20180126,177.5,0.12,-3
RHT,20180202,110,0.16,-3
ACN,20180209,142,0.17,-3
GD,20180126,187.5,0.17,-3
PG,20180126,88,0.15,-2
ADP,20180202,111,0.22,-3
ITW,20180126,152.5,0.15,-2
QCOM,20180209,50,0.27,-1
CMI,20180209,152.5,0.2,-2
MA,20180209,145,0.47,-2
AMZN,20180126,1182.5,0.41,-2
TXN,20180126,101,0.1,-1
UNP,20180126,128,0.21,-1
TXN,20180202,100,0.13,-1
TDG,20180216,208,0.94,-1
CAT,20180126,150,0.11,-1
TEL,20180216,85,0.16,-1
EL,20180216,105,0.19,-1
MCD,20180202,160,0.12,-1
MMM,20180126,222.5,0.11,-1
