MMM,20171215,205,0.56,-3
ADBE,20171215,139,0.18,-3
ADBE,20171215,138,0.15,-1
ADBE,20171215,136,0.14,-1
ADBE,20171215,137,0.14,-1
MMM,20171222,200,0.44,-1
MMM,20171222,202.5,0.42,-1
HON,20171222,138,0.24,-3
MMM,20171215,207.5,0.1,-1
HON,20171222,137,0.19,-1
CPB,20180216,43,0.36,-3
TIF,20180216,82.5,0.59,-3
HON,20180105,135,0.32,-1
TIF,20180119,82.5,0.28,-1
HON,20171229,134,0.2,-1
CPB,20180216,42,0.24,-1
TIF,20180216,80,0.38,-1
CPB,20180216,41,0.2,-1
TIF,20180119,80,0.18,-1
MRK,20180126,48.5,0.15,-3
CME,20180112,125,0.23,-3
TDG,20180119,228,0.55,-3
UNP,20171222,113,0.15,-2
TXN,20171222,87,0.1,-2
TXN,20180112,85,0.17,-1
V,20180119,92.5,0.2,-2
TDG,20180216,228,1.94,-1
ACN,20171222,120,0.12,-2
GLW,20180216,28,0.12,-1
IBM,20180216,135,0.56,-1
CAT,20180216,120,0.5,-1
AMZN,20180216,930,3.81,-1
BA,20180216,230,0.93,-1
AMZN,20180216,925,3.66,-1
