WLTW,20180316,140,1.56,-3
QCOM,20180323,50,0.63,-3
PM,20180323,92,0.58,-3
V,20180420,90,0.96,-3
BLK,20180316,420,0.92,-3
MDT,20180323,70,0.22,-3
ADP,20180316,104,0.19,-3
CAT,20180323,105,0.27,-3
CME,20180329,130,0.36,-3
SNPS,20180420,70,0.34,-3
JPM,20180323,90,0.16,-3
RTN,20180316,180,0.13,-3
GD,20180323,180,0.18,-3
NKE,20180323,50,0.47,-1
TIF,20180323,80,0.1,-2
ACN,20180323,120,0.15,-2
RHT,20180316,128,0.18,-2
IBM,20180323,134,0.22,-2
AMZN,20180316,1235,1.2,-2
ADSK,20180329,90,0.62,-1
TDG,20180518,230,1.65,-1
T,20180413,32,0.11,-1
ITW,20180316,140,0.23,-1
BA,20180329,250,0.37,-1
