Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;162.5;12755.75;0.01;0.05;0.01;0.022;0.022;0;∞;1;0;0.00134527565999647;0.0491361934813711
20180706;165;12954.17;0.02;0.06;0.02;0.032;0.0319115785852515;0.00884214147484982;3.60903279776956;0.9999;0.884214147484983;0.00192146863106599;0.0701816417496854
20180706;167.5;13153.35;0.04;0.07;0.04;0.049;0.0485338858456384;0.0361698556887346;1.34183244365984;0.9998;2.33057077180797;0.00287808284274333;0.1051219758312
20180706;170;13355.01;0.07;0.08;0.07;0.073;0.0714515193181596;0.0767798688172892;0.93060225836268;0.9994;2.58080113640062;0.00417312941496596;0.152423551881632
20180706;172.5;13561.68;0.09;0.12;0.09;0.099;0.0954775156733134;0.135250148873231;0.705932795407153;0.9991;3.9138714740962;0.00549138913653651;0.200572988211996
20180706;175;13771.16;0.03;0.09;0.11;0.048;0.0414728901309576;0.206506624445198;0.200830797764377;0.9985;4.35140657936158;0.00234902900715313;0.0857982844862682
20180706;177.5;15729.07;0.05;0.12;0.15;0.071;0.0593988197861925;0.294159808027726;0.201927041578004;0.9974;4.46199238992597;0.00294557017250417;0.107586950550715
20180706;180;17719.48;0.09;0.14;0.21;0.105;0.0823869096816824;0.411042770144307;0.200433910205399;0.9945;4.11147096696684;0.00362661825018072;0.132462231587851
20180706;182.5;19722.06;0.13;0.2;0.3;0.151;0.10895038342134;0.568821073497882;0.191537178380831;0.989;3.82269241624184;0.00430894638129308;0.15738426657673
20180706;185;21745.07;0.21;0.27;0.43;0.228;0.146167291053591;0.78541786320802;0.186101307215721;0.9772;3.58915390115829;0.00524304989691001;0.191502397484638
20180706;187.5;23810.86;0.33;0.39;0.64;0.348;0.187280254135285;1.08852634916179;0.172049353035412;0.9575;3.78164107916976;0.00613495683169455;0.224079298277644
20180706;190;25946.74;0.55;0.62;0.99;0.571;0.259462372152547;1.50086217181108;0.172875549151496;0.9167;3.7399475131747;0.00779984885496162;0.284889479427473
20180706;192.5;28217.82;0.94;1.01;1.53;0.961;0.358697600845947;2.04895630265813;0.175063567915336;0.8433;3.84366559766466;0.00991515746644634;0.362151126461953
20180706;195;30692.39;1.56;1.65;2.35;1.587;0.443713321794803;2.7361237588608;0.162168586255596;0.7158;4.02282434273468;0.0112762932766053;0.411866611928007
20180713;162.5;12766.67;0.06;0.08;0.06;0.066;0.06319378339022;0.153107283823427;0.412741848801256;0.9994;4.67702768296671;0.0038609246611976;0.0829531019119073
20180713;165;12968.94;0.09;0.13;0.09;0.102;0.097508598358119;0.203486322669357;0.47918993807048;0.9991;4.99044626875669;0.00586452761130307;0.126001100589909
20180713;167.5;13179.62;0.12;0.09;0.12;0.111;0.103704719506259;0.26471447234092;0.391760671750127;0.9985;4.86352032916043;0.00613748205296376;0.131865607049707
20180713;170;13398.75;0.06;0.11;0.15;0.075;0.0623742206980911;0.344463077953958;0.181076651432663;0.9974;4.85606896227266;0.0036310769396034;0.0780147560111848
20180713;172.5;13620.63;0.08;0.14;0.2;0.098;0.077907869360274;0.44618904142283;0.174607312433845;0.9962;5.2874027999279;0.00446147778047078;0.0958561623127619
20180713;175;13850.34;0.12;0.17;0.27;0.135;0.10358735542062;0.570426706904676;0.181596257971018;0.9945;5.71138992352365;0.0058336573129673;0.125337843150665
20180713;177.5;15838.83;0.16;0.23;0.34;0.181;0.131357499801161;0.722861238282539;0.181718831837292;0.9905;5.22552633671988;0.00646883954464476;0.138984920216559
20180713;180;17856.33;0.24;0.3;0.46;0.258;0.179282285887651;0.913398531512967;0.196280462144695;0.9853;5.35494653825502;0.0078314067332071;0.168260077017876
20180713;182.5;19899.5;0.33;0.41;0.62;0.354;0.229448429500453;1.15110294815127;0.199329199763547;0.9773;5.48685332597122;0.00899368200258064;0.193231903026034
20180713;185;21986.26;0.48;0.56;0.84;0.504;0.304531968204165;1.44646475772195;0.210535352886007;0.9605;5.04982358976799;0.0108037899669725;0.232122605025688
