Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,48.330002,49.590000,48.250000,49.349998,33.890926,7844500
2010-01-05,49.369999,49.570000,48.759998,48.919998,33.595627,7168600
2010-01-06,48.660000,49.000000,48.290001,48.919998,33.595627,11777200
2010-01-07,48.770000,49.599998,48.560001,49.529999,34.014530,8905400
2010-01-08,49.320000,49.520000,48.779999,49.259998,33.829113,6580800
2010-01-11,49.779999,49.799999,49.250000,49.439999,33.952724,6090900
2010-01-12,49.369999,49.369999,48.849998,49.169998,33.767300,6752900
2010-01-13,49.169998,49.889999,49.169998,49.669998,34.110680,5926400
2010-01-14,49.480000,49.980000,49.480000,49.599998,34.062618,4602200
2010-01-15,49.660000,49.970001,49.459999,49.619999,34.076340,8269200
2010-01-19,49.599998,50.200001,49.509998,50.090000,34.399109,8804100
2010-01-20,49.900002,49.910000,48.700001,49.240002,33.815388,6461400
2010-01-21,49.220001,49.310001,47.590000,47.730000,32.778397,10276000
2010-01-22,47.599998,47.770000,46.709999,46.810001,32.146580,8717000
2010-01-25,47.090000,47.630001,47.020000,47.049999,32.311401,5880900
2010-01-26,46.689999,47.400002,46.689999,47.000000,32.277073,5858200
2010-01-27,46.849998,47.099998,46.220001,46.639999,32.029839,5177700
2010-01-28,46.660000,47.099998,46.020000,46.209999,31.734539,5594200
2010-01-29,46.529999,47.090000,45.430000,45.509998,31.253820,7064100
2010-02-01,45.740002,46.230000,45.630001,46.110001,31.665865,8066200
2010-02-02,46.209999,47.720001,46.070000,47.599998,32.689106,8715600
2010-02-03,47.330002,47.439999,46.810001,46.970001,32.256454,5001800
2010-02-04,46.599998,46.810001,45.900002,45.939999,31.549109,6728400
2010-02-05,46.220001,46.220001,45.009998,45.660000,31.356831,8451200
2010-02-08,45.310001,46.279999,45.310001,45.529999,31.267546,5242500
2010-02-09,45.930000,47.000000,45.700001,46.849998,32.174053,8742400
2010-02-10,46.810001,47.090000,46.389999,46.810001,32.146580,6480000
2010-02-11,46.650002,48.930000,46.049999,48.669998,33.423927,16677800
2010-02-12,48.349998,49.930000,48.200001,49.290001,33.849724,13040700
2010-02-16,49.599998,49.919998,49.060001,49.419998,33.938995,11304100
2010-02-17,49.509998,49.889999,49.349998,49.830002,34.220554,7402400
2010-02-18,49.590000,50.349998,49.590000,50.279999,34.529598,7533300
2010-02-19,50.200001,50.410000,49.799999,49.980000,34.323574,8931900
2010-02-22,50.000000,50.070000,49.680000,49.750000,34.165611,8233500
2010-02-23,49.750000,50.000000,49.180000,49.299999,33.856586,10514700
2010-02-24,49.320000,49.970001,48.970001,49.830002,34.220554,8305900
2010-02-25,49.430000,49.880001,49.000000,49.610001,34.069477,9596000
2010-02-26,49.619999,49.630001,48.950001,48.980000,33.636829,8502800
2010-03-01,49.049999,49.250000,48.790001,48.930000,33.602486,8198300
2010-03-02,49.389999,50.090000,49.110001,49.810001,34.206829,7126700
2010-03-03,49.820000,50.169998,49.720001,49.980000,34.323574,7166800
2010-03-04,50.160000,50.799999,50.060001,50.660000,34.790562,7350200
2010-03-05,50.750000,51.380001,50.520000,51.250000,35.195740,7140400
2010-03-08,51.130001,51.279999,50.689999,50.790001,34.879822,6970700
2010-03-09,50.610001,50.779999,50.200001,50.380001,34.598282,6203800
2010-03-10,50.250000,50.410000,49.849998,50.299999,34.543327,5967300
2010-03-11,50.290001,50.509998,49.680000,50.240002,34.502136,8066600
2010-03-12,50.250000,50.500000,49.950001,50.139999,34.433453,6118200
2010-03-15,50.049999,51.119999,49.810001,50.919998,34.969116,9131000
2010-03-16,50.980000,51.430000,50.820000,51.240002,35.188873,5970200
2010-03-17,51.450001,51.919998,51.270000,51.830002,35.594055,6784300
2010-03-18,51.939999,51.990002,51.650002,51.820000,35.587170,6092500
2010-03-19,52.680000,52.849998,51.830002,52.680000,36.177784,15243800
2010-03-22,52.389999,53.070000,52.230000,52.889999,36.321991,6994400
2010-03-23,52.200001,52.439999,51.689999,52.439999,36.412273,7052200
2010-03-24,52.430000,52.700001,51.840000,51.889999,36.030365,8034100
2010-03-25,52.119999,52.529999,51.660000,51.720001,35.912327,6076200
2010-03-26,51.779999,52.450001,51.680000,52.119999,36.190079,5112400
2010-03-29,52.270000,52.740002,52.250000,52.529999,36.474754,7271600
2010-03-30,52.619999,52.919998,52.160000,52.490002,36.446987,4820600
2010-03-31,52.500000,52.500000,51.950001,52.160000,36.217854,6486100
2010-04-01,52.240002,52.680000,52.160000,52.470001,36.433105,5846800
2010-04-05,52.599998,52.990002,52.360001,52.849998,36.696957,4390900
2010-04-06,52.639999,52.950001,52.549999,52.650002,36.558083,4451200
2010-04-07,52.570000,52.799999,52.290001,52.520000,36.467823,5572600
2010-04-08,52.290001,52.720001,52.209999,52.369999,36.363667,4755700
2010-04-09,52.759998,52.810001,52.029999,52.750000,36.627529,4844300
2010-04-12,52.860001,53.200001,52.740002,52.950001,36.766407,5055600
2010-04-13,52.779999,52.820000,52.080002,52.459999,36.426147,4531800
2010-04-14,52.090000,52.090000,50.799999,51.299999,35.620708,12739900
2010-04-15,50.650002,51.619999,50.650002,51.590000,35.822083,6596800
2010-04-16,51.450001,51.680000,50.560001,50.740002,35.231869,8822900
2010-04-19,50.549999,51.439999,50.549999,51.349998,35.655411,5769800
2010-04-20,51.480000,53.910000,51.160000,51.919998,36.051201,6890900
2010-04-21,51.970001,52.869999,51.799999,51.990002,36.099808,6611300
2010-04-22,50.380001,51.320000,50.080002,51.240002,35.579041,10098900
2010-04-23,51.180000,51.230000,50.599998,51.139999,35.509605,6457700
2010-04-26,51.040001,51.139999,50.060001,50.130001,34.808300,7802200
2010-04-27,50.009998,50.070000,48.220001,48.439999,33.634834,12135800
2010-04-28,48.669998,49.340000,48.529999,49.090000,34.086170,9074100
2010-04-29,49.450001,50.299999,49.330002,49.580002,34.426395,7819100
2010-04-30,49.470001,49.810001,49.020000,49.080002,34.079231,6884400
2010-05-03,49.320000,49.680000,49.150002,49.419998,34.315304,6482700
2010-05-04,49.009998,49.750000,48.860001,49.000000,34.023670,9986300
2010-05-05,48.889999,49.549999,48.500000,48.709999,33.822308,7506100
2010-05-06,48.500000,48.910000,44.000000,47.000000,32.634956,16460800
2010-05-07,46.139999,47.000000,45.919998,46.419998,32.232204,14566200
2010-05-10,47.910000,49.040001,47.700001,48.349998,33.572330,9709700
2010-05-11,47.740002,48.630001,47.740002,48.349998,33.572330,8924200
2010-05-12,47.930000,48.310001,47.520000,47.990002,33.322365,8489700
2010-05-13,47.860001,48.189999,47.310001,47.360001,32.884914,6602600
2010-05-14,47.270000,47.470001,46.290001,46.560001,32.329437,10548700
2010-05-17,46.599998,46.830002,45.889999,46.250000,32.114174,9076800
2010-05-18,46.439999,46.759998,45.369999,45.560001,31.635071,10435700
2010-05-19,45.369999,46.520000,45.099998,46.259998,32.121120,11069300
2010-05-20,45.470001,45.919998,44.490002,44.549999,30.933767,13066700
2010-05-21,43.900002,44.709999,43.380001,44.259998,30.732412,16035700
2010-05-24,44.040001,44.720001,43.570000,44.299999,30.760172,12667000
2010-05-25,43.599998,43.919998,42.970001,43.720001,30.357449,15891000
2010-05-26,43.849998,44.560001,43.549999,43.700001,30.343557,14571200
2010-05-27,44.230000,44.799999,44.090000,44.700001,31.037914,11520600
2010-05-28,44.759998,44.799999,44.020000,44.119999,30.635195,14109100
2010-06-01,43.770000,44.590000,43.509998,43.970001,30.531033,9173500
2010-06-02,44.040001,45.060001,44.040001,45.049999,31.280951,9575200
2010-06-03,45.060001,45.360001,44.689999,45.020000,31.260111,6411200
2010-06-04,44.570000,44.750000,43.509998,43.740002,30.371334,11855100
2010-06-07,43.720001,44.250000,43.070000,43.169998,29.975548,10536000
2010-06-08,43.130001,43.770000,42.939999,43.730000,30.364386,11988100
2010-06-09,43.980000,45.139999,43.779999,44.150002,30.656025,11085700
2010-06-10,44.590000,45.580002,44.590000,45.110001,31.322611,9979300
2010-06-11,44.840000,44.939999,43.090000,44.349998,30.794895,15482400
2010-06-14,44.610001,45.950001,44.610001,45.570000,31.642006,11379200
2010-06-15,46.220001,46.220001,45.470001,45.560001,31.635071,9119600
2010-06-16,45.389999,45.779999,45.130001,45.549999,31.628132,6227700
2010-06-17,45.779999,45.959999,45.340000,45.599998,31.662849,7420800
2010-06-18,45.669998,46.279999,45.599998,45.910000,31.878094,13155400
2010-06-21,46.279999,46.639999,45.930000,46.290001,32.141945,10605200
2010-06-22,45.810001,46.009998,44.950001,44.990002,31.635664,8248600
2010-06-23,45.959999,47.080002,45.900002,46.490002,32.690422,15496300
2010-06-24,46.279999,46.720001,46.040001,46.430000,32.648235,13230100
2010-06-25,46.560001,47.000000,45.900002,45.900002,32.275555,17658200
2010-06-28,46.000000,46.680000,45.900002,46.290001,32.549797,9271200
2010-06-29,45.900002,46.799999,45.540001,45.720001,32.148987,11364000
2010-06-30,46.150002,46.360001,45.750000,45.840000,32.233364,10800400
2010-07-01,45.770000,46.680000,45.549999,46.549999,32.732613,12567400
2010-07-02,46.630001,46.880001,46.230000,46.450001,32.662300,6941700
2010-07-06,46.750000,47.189999,46.340000,46.770000,32.887310,9049400
2010-07-07,46.590000,47.560001,46.389999,47.540001,33.428749,11016500
2010-07-08,47.950001,48.680000,47.669998,48.540001,34.131924,8888200
2010-07-09,48.799999,48.900002,48.220001,48.590000,34.167091,5783600
2010-07-12,48.570000,48.990002,48.259998,48.840000,34.342880,5136000
