20170512;65.5;271466739
20170512;63.5;271466722
20170512;62;271466718
20170512;62.5;271466715
20170512;61.5;271466705
20170512;60;271466703
20170512;58;271466685
20170512;58.5;271466680
20170512;57.5;271466674
20170512;55.5;271466659
20170512;95;275120348
20170512;90;275120345
20170512;85;275120342
20170512;80;275120339
20170512;50;275120333
20170512;49;275120328
20170512;48;275120327
20170512;47;275120322
20170512;46;275120319
20170512;100;275120314
20170512;78;274771095
20170512;77;274771090
20170512;76;274771084
20170512;74.5;274771081
20170512;69.5;271466771
20170512;68;271466765
20170512;55;271466662
20170512;56.5;271466665
20170512;56;271466668
20170512;57;271466679
20170512;59.5;271466688
20170512;59;271466693
20170512;60.5;271466698
20170512;61;271466708
20170512;63;271466727
20170512;64.5;271466728
20170512;64;271466733
20170512;65;271466742
20170512;66.5;271466745
20170512;66;271466748
20170512;67.5;271466754
20170512;67;271466759
20170512;68.5;271466760
20170512;69;271466774
20170512;70.5;271466777
20170512;70;271466780
20170512;71.5;271466784
20170512;71;271466789
20170512;72.5;271466794
20170512;72;271466799
20170512;73.5;271466801
20170512;73;271466804
20170512;74;271466811
20170512;75;271466814
20170519;78;275432205
20170519;77;275432200
20170519;76;275432199
20170519;74;273699729
20170519;74.5;273699727
20170519;73;273699722
20170519;73.5;273699717
20170519;72;273699712
20170519;71;273699711
20170519;71.5;273699706
20170519;70.5;273699701
20170519;69;273699696
20170519;69.5;273699694
20170519;68;273699691
20170519;68.5;273699684
20170519;67;273699681
20170519;66;273699677
20170519;66.5;273699672
20170519;65.5;273699671
20170519;64;273699666
20170519;64.5;273699660
20170519;72.5;263451193
20170519;70;263451190
20170519;67.5;263451187
20170519;65;263451181
20170519;62.5;263451176
20170519;60;263451175
20170519;57.5;263451170
20170519;55;263451166
20170519;50;263451163
20170519;75;263451196
20170519;45;263904193
20170519;47.5;265000273
20170519;80;270249837
20170519;85;270249843
20170519;90;270249846
20170519;46;273699591
20170519;47;273699592
20170519;48;273699597
20170519;49;273699603
20170519;55.5;273699606
20170519;56.5;273699609
20170519;56;273699612
20170519;57;273699616
20170519;58.5;273699621
20170519;58;273699626
20170519;59.5;273699631
20170519;59;273699633
20170519;60.5;273699636
20170519;61.5;273699643
20170519;61;273699646
20170519;62;273699651
20170519;63.5;273699654
20170519;63;273699657
20170526;90;272255157
20170526;85;272255152
20170526;80;272255150
20170526;74.5;272255137
20170526;73;272255133
20170526;72;272255127
20170526;71;272255116
20170526;71.5;272255113
20170526;70;272255110
20170526;70.5;272255107
20170526;69;272255100
20170526;69.5;272255097
20170526;68;272255094
20170526;67;272255085
20170526;66.5;272255074
20170526;64;272255060
20170526;63;272255055
20170526;63.5;272255050
20170526;62;272255045
20170526;62.5;272255040
20170526;61;272255037
20170526;60.5;272255026
20170526;59;272255020
20170526;59.5;272255017
20170526;58;272255014
20170526;57;272255007
20170526;57.5;272255002
20170526;56;272254997
20170526;56.5;272254992
20170526;55;272254990
20170526;50;272254980
20170526;48;272254974
20170526;47;272254971
20170526;46;272254964
20170526;45;272254961
20170526;76;275120357
20170526;49;272254977
20170526;55.5;272254987
20170526;58.5;272255011
20170526;60;272255031
20170526;61.5;272255032
20170526;64.5;272255057
20170526;65.5;272255067
20170526;65;272255070
20170526;66;272255079
20170526;67.5;272255080
20170526;68.5;272255091
20170526;72.5;272255122
20170526;73.5;272255128
20170526;74;272255140
20170526;75;272255147
